,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
206,,,603665.SH,,,,,,300378.SZ,,,,,,,,,,
207,,,603889.SH,,,,,,300379.SZ,,,,,,,,,,
208,,,605003.SH,,,,,,300380.SZ,,,,,,,,,,
209,,,605055.SH,,,,,,300383.SZ,,,,,,,,,,
210,,,605080.SH,,,,,,300386.SZ,,,,,,,,,,
211,,,605155.SH,,,,,,300399.SZ,,,,,,,,,,
212,,,605180.SH,,,,,,300419.SZ,,,,,,,,,,
213,,,605189.SH,,,,,,300440.SZ,,,,,,,,,,
214,,,001209.SZ,,,,,,300448.SZ,,,,,,,,,,
215,,,002003.SZ,,,,,,300451.SZ,,,,,,,,,,
216,,,002029.SZ,,,,,,300454.SZ,,,,,,,,,,
217,,,002154.SZ,,,,,,300465.SZ,,,,,,,,,,
218,,,002269.SZ,,,,,,300468.SZ,,,,,,,,,,
219,,,002291.SZ,,,,,,300469.SZ,,,,,,,,,,
220,,,002404.SZ,,,,,,300493.SZ,,,,,,,,,,
221,,,002486.SZ,,,,,,300496.SZ,,,,,,,,,,
222,,,002503.SZ,,,,,,300508.SZ,,,,,,,,,,
223,,,002563.SZ,,,,,,300513.SZ,,,,,,,,,,
224,,,002569.SZ,,,,,,300518.SZ,,,,,,,,,,
225,,,002612.SZ,,,,,,300520.SZ,,,,,,,,,,
226,,,002634.SZ,,,,,,300523.SZ,,,,,,,,,,
227,,,002656.SZ,,,,,,300525.SZ,,,,,,,,,,
228,,,002687.SZ,,,,,,300532.SZ,,,,,,,,,,
229,,,002762.SZ,,,,,,300533.SZ,,,,,,,,,,
230,,,002763.SZ,,,,,,300541.SZ,,,,,,,,,,
231,,,002832.SZ,,,,,,300542.SZ,,,,,,,,,,
232,,,002875.SZ,,,,,,300550.SZ,,,,,,,,,,
233,,,003016.SZ,,,,,,300552.SZ,,,,,,,,,,
234,,,300005.SZ,,,,,,300556.SZ,,,,,,,,,,
235,,,300840.SZ,,,,,,300559.SZ,,,,,,,,,,
236,,,600107.SH,,,,,,300560.SZ,,,,,,,,,,
237,,,600137.SH,,,,,,300561.SZ,,,,,,,,,,
238,,,600146.SH,,,,,,300578.SZ,,,,,,,,,,
239,,,600177.SH,,,,,,300579.SZ,,,,,,,,,,
240,,,600398.SH,,,,,,300588.SZ,,,,,,,,,,
241,,,600400.SH,,,,,,300597.SZ,,,,,,,,,,
242,,,601566.SH,,,,,,300598.SZ,,,,,,,,,,
243,,,601718.SH,,,,,,300603.SZ,,,,,,,,,,
244,,,603157.SH,,,,,,300605.SZ,,,,,,,,,,
245,,,603196.SH,,,,,,300608.SZ,,,,,,,,,,
246,,,603511.SH,,,,,,300609.SZ,,,,,,,,,,
247,,,603518.SH,,,,,,300613.SZ,,,,,,,,,,
248,,,603555.SH,,,,,,300624.SZ,,,,,,,,,,
249,,,603587.SH,,,,,,300634.SZ,,,,,,,,,,
250,,,603808.SH,,,,,,300645.SZ,,,,,,,,,,
251,,,603839.SH,,,,,,300659.SZ,,,,,,,,,,
252,,,603877.SH,,,,,,300663.SZ,,,,,,,,,,
253,,,603908.SH,,,,,,300671.SZ,,,,,,,,,,
254,,,002494.SZ,,,,,,300674.SZ,,,,,,,,,,
255,,,002674.SZ,,,,,,300678.SZ,,,,,,,,,,
256,,,300591.SZ,,,,,,300682.SZ,,,,,,,,,,
257,,,300979.SZ,,,,,,300687.SZ,,,,,,,,,,
258,,,600439.SH,,,,,,300730.SZ,,,,,,,,,,
259,,,600735.SH,,,,,,300738.SZ,,,,,,,,,,
260,,,603001.SH,,,,,,300768.SZ,,,,,,,,,,
261,,,603116.SH,,,,,,300789.SZ,,,,,,,,,,
262,,,603557.SH,,,,,,300799.SZ,,,,,,,,,,
263,,,603608.SH,,,,,,300810.SZ,,,,,,,,,,
264,,,603958.SH,,,,,,300830.SZ,,,,,,,,,,
265,,,605068.SH,,,,,,300845.SZ,,,,,,,,,,
266,,,000910.SZ,,,,,,300846.SZ,,,,,,,,,,
267,,,001211.SZ,,,,,,300851.SZ,,,,,,,,,,
268,,,002043.SZ,,,,,,300872.SZ,,,,,,,,,,
269,,,002631.SZ,,,,,,300895.SZ,,,,,,,,,,
270,,,600076.SH,,,,,,300925.SZ,,,,,,,,,,
271,,,600321.SH,,,,,,300935.SZ,,,,,,,,,,
272,,,601996.SH,,,,,,300941.SZ,,,,,,,,,,
273,,,603226.SH,,,,,,300959.SZ,,,,,,,,,,
274,,,000663.SZ,,,,,,300996.SZ,,,,,,,,,,
275,,,002489.SZ,,,,,,600131.SH,,,,,,,,,,
276,,,002572.SZ,,,,,,600289.SH,,,,,,,,,,
277,,,002751.SZ,,,,,,600406.SH,,,,,,,,,,
278,,,002853.SZ,,,,,,600410.SH,,,,,,,,,,
279,,,300616.SZ,,,,,,600446.SH,,,,,,,,,,
280,,,300729.SZ,,,,,,600476.SH,,,,,,,,,,
281,,,300749.SZ,,,,,,600536.SH,,,,,,,,,,
282,,,301061.SZ,,,,,,600570.SH,,,,,,,,,,
283,,,603008.SH,,,,,,600571.SH,,,,,,,,,,
284,,,603180.SH,,,,,,600588.SH,,,,,,,,,,
285,,,603208.SH,,,,,,600602.SH,,,,,,,,,,
286,,,603313.SH,,,,,,600636.SH,,,,,,,,,,
287,,,603326.SH,,,,,,600654.SH,,,,,,,,,,
288,,,603389.SH,,,,,,600718.SH,,,,,,,,,,
289,,,603600.SH,,,,,,600728.SH,,,,,,,,,,
290,,,603610.SH,,,,,,600756.SH,,,,,,,,,,
291,,,603661.SH,,,,,,600767.SH,,,,,,,,,,
292,,,603709.SH,,,,,,600797.SH,,,,,,,,,,
293,,,603801.SH,,,,,,600845.SH,,,,,,,,,,
294,,,603816.SH,,,,,,600850.SH,,,,,,,,,,
295,,,603818.SH,,,,,,600892.SH,,,,,,,,,,
296,,,603833.SH,,,,,,603039.SH,,,,,,,,,,
297,,,603898.SH,,,,,,603138.SH,,,,,,,,,,
298,,,000488.SZ,,,,,,603171.SH,,,,,,,,,,
299,,,000815.SZ,,,,,,603189.SH,,,,,,,,,,
300,,,001206.SZ,,,,,,603220.SH,,,,,,,,,,
301,,,002012.SZ,,,,,,603232.SH,,,,,,,,,,
302,,,002067.SZ,,,,,,603322.SH,,,,,,,,,,
303,,,002078.SZ,,,,,,603383.SH,,,,,,,,,,
304,,,002228.SZ,,,,,,603421.SH,,,,,,,,,,
305,,,002303.SZ,,,,,,603602.SH,,,,,,,,,,
306,,,002511.SZ,,,,,,603636.SH,,,,,,,,,,
307,,,002521.SZ,,,,,,603869.SH,,,,,,,,,,
308,,,002565.SZ,,,,,,603887.SH,,,,,,,,,,
309,,,002799.SZ,,,,,,603918.SH,,,,,,,,,,
310,,,002831.SZ,,,,,,603927.SH,,,,,,,,,,
311,,,003006.SZ,,,,,,603990.SH,,,,,,,,,,
312,,,300883.SZ,,,,,,605398.SH,,,,,,,,,,
313,,,301009.SZ,,,,,,688004.SH,,,,,,,,,,
314,,,301062.SZ,,,,,,688018.SH,,,,,,,,,,
315,,,600103.SH,,,,,,688023.SH,,,,,,,,,,
316,,,600235.SH,,,,,,688030.SH,,,,,,,,,,
317,,,600308.SH,,,,,,688038.SH,,,,,,,,,,
318,,,600356.SH,,,,,,688039.SH,,,,,,,,,,
319,,,600433.SH,,,,,,688051.SH,,,,,,,,,,
320,,,600567.SH,,,,,,688058.SH,,,,,,,,,,
321,,,600793.SH,,,,,,688060.SH,,,,,,,,,,
322,,,600963.SH,,,,,,688066.SH,,,,,,,,,,
323,,,600966.SH,,,,,,688078.SH,,,,,,,,,,
324,,,603022.SH,,,,,,688083.SH,,,,,,,,,,
325,,,603165.SH,,,,,,688088.SH,,,,,,,,,,
326,,,603607.SH,,,,,,688095.SH,,,,,,,,,,
327,,,603687.SH,,,,,,688099.SH,,,,,,,,,,
328,,,603733.SH,,,,,,688109.SH,,,,,,,,,,
329,,,603863.SH,,,,,,688111.SH,,,,,,,,,,
330,,,605007.SH,,,,,,688118.SH,,,,,,,,,,
331,,,605009.SH,,,,,,688168.SH,,,,,,,,,,
332,,,605377.SH,,,,,,688188.SH,,,,,,,,,,
333,,,605500.SH,,,,,,688191.SH,,,,,,,,,,
334,,,000695.SZ,,,,,,688201.SH,,,,,,,,,,
335,,,000812.SZ,,,,,,688228.SH,,,,,,,,,,
336,,,002117.SZ,,,,,,688229.SH,,,,,,,,,,
337,,,002191.SZ,,,,,,688256.SH,,,,,,,,,,
338,,,002229.SZ,,,,,,688258.SH,,,,,,,,,,
339,,,002599.SZ,,,,,,688296.SH,,,,,,,,,,
340,,,002836.SZ,,,,,,688316.SH,,,,,,,,,,
341,,,002951.SZ,,,,,,688318.SH,,,,,,,,,,
342,,,003003.SZ,,,,,,688365.SH,,,,,,,,,,
343,,,600836.SH,,,,,,688368.SH,,,,,,,,,,
344,,,601515.SH,,,,,,688369.SH,,,,,,,,,,
345,,,603058.SH,,,,,,688500.SH,,,,,,,,,,
346,,,603429.SH,,,,,,688508.SH,,,,,,,,,,
347,,,603499.SH,,,,,,688521.SH,,,,,,,,,,
348,,,002292.SZ,,,,,,688536.SH,,,,,,,,,,
349,,,002301.SZ,,,,,,688555.SH,,,,,,,,,,
350,,,002348.SZ,,,,,,688561.SH,,,,,,,,,,
351,,,002574.SZ,,,,,,688568.SH,,,,,,,,,,
352,,,002575.SZ,,,,,,688579.SH,,,,,,,,,,
353,,,002678.SZ,,,,,,688588.SH,,,,,,,,,,
354,,,002721.SZ,,,,,,688589.SH,,,,,,,,,,
355,,,002731.SZ,,,,,,688590.SH,,,,,,,,,,
356,,,002740.SZ,,,,,,688619.SH,,,,,,,,,,
357,,,002862.SZ,,,,,,688682.SH,,,,,,,,,,
358,,,002899.SZ,,,,,,688699.SH,,,,,,,,,,
359,,,300329.SZ,,,,,,688777.SH,,,,,,,,,,
360,,,300640.SZ,,,,,,688787.SH,,,,,,,,,,
361,,,300651.SZ,,,,,,,,,,,,,,,,
362,,,300703.SZ,,,,,,,,,,,,,,,,
363,,,300756.SZ,,,,,,,,,,,,,,,,
364,,,301011.SZ,,,,,,,,,,,,,,,,
365,,,603398.SH,,,,,,,,,,,,,,,,
366,,,603899.SH,,,,,,,,,,,,,,,,
367,,,605099.SH,,,,,,,,,,,,,,,,
368,,,605299.SH,,,,,,,,,,,,,,,,
369,,,000059.SZ,,,,,,,,,,,,,,,,
370,,,000637.SZ,,,,,,,,,,,,,,,,
371,,,000698.SZ,,,,,,,,,,,,,,,,
372,,,000723.SZ,,,,,,,,,,,,,,,,
373,,,000819.SZ,,,,,,,,,,,,,,,,
374,,,002778.SZ,,,,,,,,,,,,,,,,
375,,,300839.SZ,,,,,,,,,,,,,,,,
376,,,600688.SH,,,,,,,,,,,,,,,,
377,,,600725.SH,,,,,,,,,,,,,,,,
378,,,600740.SH,,,,,,,,,,,,,,,,
379,,,600792.SH,,,,,,,,,,,,,,,,
380,,,600997.SH,,,,,,,,,,,,,,,,
381,,,601011.SH,,,,,,,,,,,,,,,,
382,,,601015.SH,,,,,,,,,,,,,,,,
383,,,603113.SH,,,,,,,,,,,,,,,,
384,,,603798.SH,,,,,,,,,,,,,,,,
385,,,000408.SZ,,,,,,,,,,,,,,,,
386,,,000422.SZ,,,,,,,,,,,,,,,,
387,,,000510.SZ,,,,,,,,,,,,,,,,
388,,,000523.SZ,,,,,,,,,,,,,,,,
389,,,000525.SZ,,,,,,,,,,,,,,,,
390,,,000545.SZ,,,,,,,,,,,,,,,,
391,,,000553.SZ,,,,,,,,,,,,,,,,
392,,,000565.SZ,,,,,,,,,,,,,,,,
393,,,000635.SZ,,,,,,,,,,,,,,,,
394,,,000683.SZ,,,,,,,,,,,,,,,,
395,,,000691.SZ,,,,,,,,,,,,,,,,
396,,,000707.SZ,,,,,,,,,,,,,,,,
397,,,000731.SZ,,,,,,,,,,,,,,,,
398,,,000737.SZ,,,,,,,,,,,,,,,,
399,,,000792.SZ,,,,,,,,,,,,,,,,
400,,,000818.SZ,,,,,,,,,,,,,,,,
401,,,000822.SZ,,,,,,,,,,,,,,,,
402,,,000830.SZ,,,,,,,,,,,,,,,,
403,,,000881.SZ,,,,,,,,,,,,,,,,
404,,,000893.SZ,,,,,,,,,,,,,,,,
405,,,000902.SZ,,,,,,,,,,,,,,,,
406,,,000912.SZ,,,,,,,,,,,,,,,,
407,,,000920.SZ,,,,,,,,,,,,,,,,
408,,,000930.SZ,,,,,,,,,,,,,,,,
409,,,000985.SZ,,,,,,,,,,,,,,,,
410,,,000990.SZ,,,,,,,,,,,,,,,,
411,,,001207.SZ,,,,,,,,,,,,,,,,
412,,,002002.SZ,,,,,,,,,,,,,,,,
413,,,002004.SZ,,,,,,,,,,,,,,,,
414,,,002037.SZ,,,,,,,,,,,,,,,,
415,,,002054.SZ,,,,,,,,,,,,,,,,
416,,,002057.SZ,,,,,,,,,,,,,,,,
417,,,002068.SZ,,,,,,,,,,,,,,,,
418,,,002092.SZ,,,,,,,,,,,,,,,,
419,,,002094.SZ,,,,,,,,,,,,,,,,
420,,,002096.SZ,,,,,,,,,,,,,,,,
421,,,002109.SZ,,,,,,,,,,,,,,,,
422,,,002125.SZ,,,,,,,,,,,,,,,,
423,,,002136.SZ,,,,,,,,,,,,,,,,
424,,,002145.SZ,,,,,,,,,,,,,,,,
425,,,002165.SZ,,,,,,,,,,,,,,,,
426,,,002170.SZ,,,,,,,,,,,,,,,,
427,,,002211.SZ,,,,,,,,,,,,,,,,
428,,,002215.SZ,,,,,,,,,,,,,,,,
429,,,002226.SZ,,,,,,,,,,,,,,,,
430,,,002246.SZ,,,,,,,,,,,,,,,,
431,,,002250.SZ,,,,,,,,,,,,,,,,
432,,,002258.SZ,,,,,,,,,,,,,,,,
433,,,002274.SZ,,,,,,,,,,,,,,,,
434,,,002312.SZ,,,,,,,,,,,,,,,,
435,,,002319.SZ,,,,,,,,,,,,,,,,
436,,,002326.SZ,,,,,,,,,,,,,,,,
437,,,002341.SZ,,,,,,,,,,,,,,,,
438,,,002360.SZ,,,,,,,,,,,,,,,,
439,,,002361.SZ,,,,,,,,,,,,,,,,
440,,,002386.SZ,,,,,,,,,,,,,,,,
441,,,002391.SZ,,,,,,,,,,,,,,,,
442,,,002398.SZ,,,,,,,,,,,,,,,,
443,,,002407.SZ,,,,,,,,,,,,,,,,
444,,,002408.SZ,,,,,,,,,,,,,,,,
445,,,002409.SZ,,,,,,,,,,,,,,,,
446,,,002440.SZ,,,,,,,,,,,,,,,,
447,,,002442.SZ,,,,,,,,,,,,,,,,
448,,,002455.SZ,,,,,,,,,,,,,,,,
449,,,002469.SZ,,,,,,,,,,,,,,,,
450,,,002470.SZ,,,,,,,,,,,,,,,,
451,,,002476.SZ,,,,,,,,,,,,,,,,
452,,,002496.SZ,,,,,,,,,,,,,,,,
453,,,002497.SZ,,,,,,,,,,,,,,,,
454,,,002513.SZ,,,,,,,,,,,,,,,,
455,,,002538.SZ,,,,,,,,,,,,,,,,
456,,,002539.SZ,,,,,,,,,,,,,,,,
457,,,002584.SZ,,,,,,,,,,,,,,,,
458,,,002588.SZ,,,,,,,,,,,,,,,,
459,,,002591.SZ,,,,,,,,,,,,,,,,
460,,,002601.SZ,,,,,,,,,,,,,,,,
461,,,002632.SZ,,,,,,,,,,,,,,,,
462,,,002637.SZ,,,,,,,,,,,,,,,,
463,,,002643.SZ,,,,,,,,,,,,,,,,
464,,,002648.SZ,,,,,,,,,,,,,,,,
465,,,002666.SZ,,,,,,,,,,,,,,,,
466,,,002669.SZ,,,,,,,,,,,,,,,,
467,,,002709.SZ,,,,,,,,,,,,,,,,
468,,,002734.SZ,,,,,,,,,,,,,,,,
469,,,002741.SZ,,,,,,,,,,,,,,,,
470,,,002748.SZ,,,,,,,,,,,,,,,,
471,,,002749.SZ,,,,,,,,,,,,,,,,
472,,,002753.SZ,,,,,,,,,,,,,,,,
473,,,002783.SZ,,,,,,,,,,,,,,,,
474,,,002802.SZ,,,,,,,,,,,,,,,,
475,,,002805.SZ,,,,,,,,,,,,,,,,
476,,,002809.SZ,,,,,,,,,,,,,,,,
477,,,002810.SZ,,,,,,,,,,,,,,,,
478,,,002827.SZ,,,,,,,,,,,,,,,,
479,,,002895.SZ,,,,,,,,,,,,,,,,
480,,,002909.SZ,,,,,,,,,,,,,,,,
481,,,002915.SZ,,,,,,,,,,,,,,,,
482,,,002917.SZ,,,,,,,,,,,,,,,,
483,,,002919.SZ,,,,,,,,,,,,,,,,
484,,,002942.SZ,,,,,,,,,,,,,,,,
485,,,002971.SZ,,,,,,,,,,,,,,,,
486,,,002986.SZ,,,,,,,,,,,,,,,,
487,,,003002.SZ,,,,,,,,,,,,,,,,
488,,,003017.SZ,,,,,,,,,,,,,,,,
489,,,003022.SZ,,,,,,,,,,,,,,,,
490,,,003042.SZ,,,,,,,,,,,,,,,,
491,,,300019.SZ,,,,,,,,,,,,,,,,
492,,,300037.SZ,,,,,,,,,,,,,,,,
493,,,300041.SZ,,,,,,,,,,,,,,,,
494,,,300054.SZ,,,,,,,,,,,,,,,,
495,,,300067.SZ,,,,,,,,,,,,,,,,
496,,,300072.SZ,,,,,,,,,,,,,,,,
497,,,300082.SZ,,,,,,,,,,,,,,,,
498,,,300107.SZ,,,,,,,,,,,,,,,,
499,,,300109.SZ,,,,,,,,,,,,,,,,
500,,,300121.SZ,,,,,,,,,,,,,,,,
501,,,300132.SZ,,,,,,,,,,,,,,,,
502,,,300135.SZ,,,,,,,,,,,,,,,,
503,,,300174.SZ,,,,,,,,,,,,,,,,
504,,,300200.SZ,,,,,,,,,,,,,,,,
505,,,300214.SZ,,,,,,,,,,,,,,,,
506,,,300225.SZ,,,,,,,,,,,,,,,,
507,,,300236.SZ,,,,,,,,,,,,,,,,
508,,,300243.SZ,,,,,,,,,,,,,,,,
509,,,300261.SZ,,,,,,,,,,,,,,,,
510,,,300285.SZ,,,,,,,,,,,,,,,,
511,,,300343.SZ,,,,,,,,,,,,,,,,
512,,,300387.SZ,,,,,,,,,,,,,,,,
513,,,300398.SZ,,,,,,,,,,,,,,,,
514,,,300405.SZ,,,,,,,,,,,,,,,,
515,,,300429.SZ,,,,,,,,,,,,,,,,
516,,,300437.SZ,,,,,,,,,,,,,,,,
517,,,300446.SZ,,,,,,,,,,,,,,,,
518,,,300481.SZ,,,,,,,,,,,,,,,,
519,,,300487.SZ,,,,,,,,,,,,,,,,
520,,,300505.SZ,,,,,,,,,,,,,,,,
521,,,300522.SZ,,,,,,,,,,,,,,,,
522,,,300530.SZ,,,,,,,,,,,,,,,,
523,,,300535.SZ,,,,,,,,,,,,,,,,
524,,,300537.SZ,,,,,,,,,,,,,,,,
525,,,300568.SZ,,,,,,,,,,,,,,,,
526,,,300575.SZ,,,,,,,,,,,,,,,,
527,,,300576.SZ,,,,,,,,,,,,,,,,
528,,,300596.SZ,,,,,,,,,,,,,,,,
529,,,300610.SZ,,,,,,,,,,,,,,,,
530,,,300637.SZ,,,,,,,,,,,,,,,,
531,,,300641.SZ,,,,,,,,,,,,,,,,
532,,,300655.SZ,,,,,,,,,,,,,,,,
533,,,300665.SZ,,,,,,,,,,,,,,,,
534,,,300684.SZ,,,,,,,,,,,,,,,,
535,,,300721.SZ,,,,,,,,,,,,,,,,
536,,,300725.SZ,,,,,,,,,,,,,,,,
537,,,300727.SZ,,,,,,,,,,,,,,,,
538,,,300740.SZ,,,,,,,,,,,,,,,,
539,,,300741.SZ,,,,,,,,,,,,,,,,
540,,,300758.SZ,,,,,,,,,,,,,,,,
541,,,300796.SZ,,,,,,,,,,,,,,,,
542,,,300798.SZ,,,,,,,,,,,,,,,,
543,,,300801.SZ,,,,,,,,,,,,,,,,
544,,,300821.SZ,,,,,,,,,,,,,,,,
545,,,300848.SZ,,,,,,,,,,,,,,,,
546,,,300856.SZ,,,,,,,,,,,,,,,,
547,,,300886.SZ,,,,,,,,,,,,,,,,
548,,,300891.SZ,,,,,,,,,,,,,,,,
549,,,300910.SZ,,,,,,,,,,,,,,,,
550,,,300927.SZ,,,,,,,,,,,,,,,,
551,,,300957.SZ,,,,,,,,,,,,,,,,
552,,,301035.SZ,,,,,,,,,,,,,,,,
553,,,301036.SZ,,,,,,,,,,,,,,,,
554,,,301037.SZ,,,,,,,,,,,,,,,,
555,,,301059.SZ,,,,,,,,,,,,,,,,
556,,,301065.SZ,,,,,,,,,,,,,,,,
557,,,600075.SH,,,,,,,,,,,,,,,,
558,,,600078.SH,,,,,,,,,,,,,,,,
559,,,600091.SH,,,,,,,,,,,,,,,,
560,,,600096.SH,,,,,,,,,,,,,,,,
561,,,600135.SH,,,,,,,,,,,,,,,,
562,,,600141.SH,,,,,,,,,,,,,,,,
563,,,600160.SH,,,,,,,,,,,,,,,,
564,,,600165.SH,,,,,,,,,,,,,,,,
565,,,600230.SH,,,,,,,,,,,,,,,,
566,,,600249.SH,,,,,,,,,,,,,,,,
567,,,600273.SH,,,,,,,,,,,,,,,,
568,,,600277.SH,,,,,,,,,,,,,,,,
569,,,600301.SH,,,,,,,,,,,,,,,,
570,,,600309.SH,,,,,,,,,,,,,,,,
571,,,600315.SH,,,,,,,,,,,,,,,,
572,,,600319.SH,,,,,,,,,,,,,,,,
573,,,600328.SH,,,,,,,,,,,,,,,,
574,,,600352.SH,,,,,,,,,,,,,,,,
575,,,600367.SH,,,,,,,,,,,,,,,,
576,,,600370.SH,,,,,,,,,,,,,,,,
577,,,600378.SH,,,,,,,,,,,,,,,,
578,,,600389.SH,,,,,,,,,,,,,,,,
579,,,600409.SH,,,,,,,,,,,,,,,,
580,,,600423.SH,,,,,,,,,,,,,,,,
581,,,600426.SH,,,,,,,,,,,,,,,,
582,,,600470.SH,,,,,,,,,,,,,,,,
583,,,600486.SH,,,,,,,,,,,,,,,,
584,,,600500.SH,,,,,,,,,,,,,,,,
585,,,600589.SH,,,,,,,,,,,,,,,,
586,,,600596.SH,,,,,,,,,,,,,,,,
587,,,600610.SH,,,,,,,,,,,,,,,,
588,,,600618.SH,,,,,,,,,,,,,,,,
589,,,600623.SH,,,,,,,,,,,,,,,,
590,,,600691.SH,,,,,,,,,,,,,,,,
591,,,600714.SH,,,,,,,,,,,,,,,,
592,,,600722.SH,,,,,,,,,,,,,,,,
593,,,600727.SH,,,,,,,,,,,,,,,,
594,,,600731.SH,,,,,,,,,,,,,,,,
595,,,600746.SH,,,,,,,,,,,,,,,,
596,,,600796.SH,,,,,,,,,,,,,,,,
597,,,600800.SH,,,,,,,,,,,,,,,,
598,,,600844.SH,,,,,,,,,,,,,,,,
599,,,600955.SH,,,,,,,,,,,,,,,,
600,,,600989.SH,,,,,,,,,,,,,,,,
601,,,601208.SH,,,,,,,,,,,,,,,,
602,,,601216.SH,,,,,,,,,,,,,,,,
603,,,601568.SH,,,,,,,,,,,,,,,,
604,,,601678.SH,,,,,,,,,,,,,,,,
605,,,603010.SH,,,,,,,,,,,,,,,,
606,,,603026.SH,,,,,,,,,,,,,,,,
607,,,603041.SH,,,,,,,,,,,,,,,,
608,,,603067.SH,,,,,,,,,,,,,,,,
609,,,603077.SH,,,,,,,,,,,,,,,,
610,,,603078.SH,,,,,,,,,,,,,,,,
611,,,603086.SH,,,,,,,,,,,,,,,,
612,,,603110.SH,,,,,,,,,,,,,,,,
613,,,603155.SH,,,,,,,,,,,,,,,,
614,,,603181.SH,,,,,,,,,,,,,,,,
615,,,603188.SH,,,,,,,,,,,,,,,,
616,,,603192.SH,,,,,,,,,,,,,,,,
617,,,603217.SH,,,,,,,,,,,,,,,,
618,,,603227.SH,,,,,,,,,,,,,,,,
619,,,603260.SH,,,,,,,,,,,,,,,,
620,,,603330.SH,,,,,,,,,,,,,,,,
621,,,603360.SH,,,,,,,,,,,,,,,,
622,,,603378.SH,,,,,,,,,,,,,,,,
623,,,603379.SH,,,,,,,,,,,,,,,,
624,,,603585.SH,,,,,,,,,,,,,,,,
625,,,603599.SH,,,,,,,,,,,,,,,,
626,,,603605.SH,,,,,,,,,,,,,,,,
627,,,603630.SH,,,,,,,,,,,,,,,,
628,,,603639.SH,,,,,,,,,,,,,,,,
629,,,603650.SH,,,,,,,,,,,,,,,,
630,,,603681.SH,,,,,,,,,,,,,,,,
631,,,603683.SH,,,,,,,,,,,,,,,,
632,,,603722.SH,,,,,,,,,,,,,,,,
633,,,603737.SH,,,,,,,,,,,,,,,,
634,,,603790.SH,,,,,,,,,,,,,,,,
635,,,603810.SH,,,,,,,,,,,,,,,,
636,,,603822.SH,,,,,,,,,,,,,,,,
637,,,603823.SH,,,,,,,,,,,,,,,,
638,,,603867.SH,,,,,,,,,,,,,,,,
639,,,603879.SH,,,,,,,,,,,,,,,,
640,,,603906.SH,,,,,,,,,,,,,,,,
641,,,603916.SH,,,,,,,,,,,,,,,,
642,,,603928.SH,,,,,,,,,,,,,,,,
643,,,603931.SH,,,,,,,,,,,,,,,,
644,,,603938.SH,,,,,,,,,,,,,,,,
645,,,603948.SH,,,,,,,,,,,,,,,,
646,,,603968.SH,,,,,,,,,,,,,,,,
647,,,603977.SH,,,,,,,,,,,,,,,,
648,,,603980.SH,,,,,,,,,,,,,,,,
649,,,603983.SH,,,,,,,,,,,,,,,,
650,,,605008.SH,,,,,,,,,,,,,,,,
651,,,605020.SH,,,,,,,,,,,,,,,,
652,,,605033.SH,,,,,,,,,,,,,,,,
653,,,605166.SH,,,,,,,,,,,,,,,,
654,,,605183.SH,,,,,,,,,,,,,,,,
655,,,605366.SH,,,,,,,,,,,,,,,,
656,,,605399.SH,,,,,,,,,,,,,,,,
657,,,605589.SH,,,,,,,,,,,,,,,,
658,,,688106.SH,,,,,,,,,,,,,,,,
659,,,688116.SH,,,,,,,,,,,,,,,,
660,,,688129.SH,,,,,,,,,,,,,,,,
661,,,688157.SH,,,,,,,,,,,,,,,,
662,,,688199.SH,,,,,,,,,,,,,,,,
663,,,688268.SH,,,,,,,,,,,,,,,,
664,,,688269.SH,,,,,,,,,,,,,,,,
665,,,688350.SH,,,,,,,,,,,,,,,,
666,,,688356.SH,,,,,,,,,,,,,,,,
667,,,688357.SH,,,,,,,,,,,,,,,,
668,,,688359.SH,,,,,,,,,,,,,,,,
669,,,688550.SH,,,,,,,,,,,,,,,,
670,,,688571.SH,,,,,,,,,,,,,,,,
671,,,688585.SH,,,,,,,,,,,,,,,,
672,,,688625.SH,,,,,,,,,,,,,,,,
673,,,688639.SH,,,,,,,,,,,,,,,,
674,,,688690.SH,,,,,,,,,,,,,,,,
675,,,688707.SH,,,,,,,,,,,,,,,,
676,,,000153.SZ,,,,,,,,,,,,,,,,
677,,,000403.SZ,,,,,,,,,,,,,,,,
678,,,000423.SZ,,,,,,,,,,,,,,,,
679,,,000513.SZ,,,,,,,,,,,,,,,,
680,,,000518.SZ,,,,,,,,,,,,,,,,
681,,,000534.SZ,,,,,,,,,,,,,,,,
682,,,000538.SZ,,,,,,,,,,,,,,,,
683,,,000566.SZ,,,,,,,,,,,,,,,,
684,,,000590.SZ,,,,,,,,,,,,,,,,
685,,,000597.SZ,,,,,,,,,,,,,,,,
686,,,000623.SZ,,,,,,,,,,,,,,,,
687,,,000650.SZ,,,,,,,,,,,,,,,,
688,,,000661.SZ,,,,,,,,,,,,,,,,
689,,,000739.SZ,,,,,,,,,,,,,,,,
690,,,000756.SZ,,,,,,,,,,,,,,,,
691,,,000766.SZ,,,,,,,,,,,,,,,,
692,,,000788.SZ,,,,,,,,,,,,,,,,
