,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
26,002299.SZ,600256.SH,002991.SZ,002479.SZ,300055.SZ,002589.SZ,600368.SH,,002174.SZ,601328.SH,000668.SZ,002769.SZ,300081.SZ,300422.SZ,,,,605577.SH,
27,002321.SZ,600759.SH,003000.SZ,002499.SZ,300237.SZ,002758.SZ,600377.SH,,002235.SZ,601398.SH,000671.SZ,002818.SZ,300215.SZ,300495.SZ,,,,000156.SZ,
28,002458.SZ,600777.SH,003030.SZ,002608.SZ,300517.SZ,002788.SZ,600548.SH,,002247.SZ,601528.SH,000718.SZ,002878.SZ,300284.SZ,300614.SZ,,,,000665.SZ,
29,002714.SZ,601857.SH,300094.SZ,002893.SZ,300536.SZ,002819.SZ,600561.SH,,002306.SZ,601577.SH,000720.SZ,002889.SZ,300384.SZ,300664.SZ,,,,000802.SZ,
30,002982.SZ,000655.SZ,300138.SZ,003816.SZ,300649.SZ,002872.SZ,600611.SH,,002315.SZ,601658.SH,000732.SZ,300058.SZ,300416.SZ,300692.SZ,,,,000892.SZ,
31,300106.SZ,000762.SZ,300175.SZ,300335.SZ,300712.SZ,003020.SZ,600650.SH,,002354.SZ,601665.SH,000736.SZ,300061.SZ,300492.SZ,300774.SZ,,,,002343.SZ,
32,300313.SZ,000923.SZ,300268.SZ,600011.SH,300982.SZ,300131.SZ,600662.SH,,002425.SZ,601818.SH,000797.SZ,300063.SZ,300500.SZ,300816.SZ,,,,002445.SZ,
33,300498.SZ,001203.SZ,300673.SZ,600021.SH,600039.SH,300184.SZ,600676.SH,,002447.SZ,601825.SH,000838.SZ,300071.SZ,300564.SZ,300854.SZ,,,,002502.SZ,
34,300761.SZ,601969.SH,300999.SZ,600023.SH,600072.SH,300475.SZ,600834.SH,,002464.SZ,601838.SH,000863.SZ,300178.SZ,300635.SZ,300864.SZ,,,,002739.SZ,
35,300967.SZ,000426.SZ,600127.SH,600025.SH,600133.SH,300538.SZ,601107.SH,,002467.SZ,601860.SH,000886.SZ,300269.SZ,300668.SZ,300867.SZ,,,,002905.SZ,
36,600975.SH,000506.SZ,600191.SH,600027.SH,600170.SH,300650.SZ,601188.SH,,002517.SZ,601916.SH,000897.SZ,300280.SZ,300675.SZ,300899.SZ,,,,300027.SZ,
37,603477.SH,000603.SZ,600251.SH,600032.SH,600248.SH,300755.SZ,601518.SH,,002530.SZ,601939.SH,000909.SZ,300336.SZ,300676.SZ,300912.SZ,,,,300133.SZ,
38,605296.SH,000688.SZ,600275.SH,600098.SH,600284.SH,300937.SZ,603069.SH,,002555.SZ,601963.SH,000918.SZ,300612.SZ,300732.SZ,300929.SZ,,,,300182.SZ,
39,000798.SZ,000758.SZ,600438.SH,600101.SH,600463.SH,300975.SZ,603223.SH,,002558.SZ,601988.SH,000926.SZ,300662.SZ,300746.SZ,300948.SZ,,,,300251.SZ,
40,002069.SZ,000975.SZ,600737.SH,600116.SH,600491.SH,301015.SZ,603813.SH,,002605.SZ,601997.SH,000961.SZ,300688.SZ,300778.SZ,300958.SZ,,,,300291.SZ,
41,002086.SZ,002155.SZ,600811.SH,600149.SH,600502.SH,600051.SH,000507.SZ,,002619.SZ,601998.SH,000965.SZ,300781.SZ,300797.SZ,300961.SZ,,,,300426.SZ,
42,002696.SZ,002192.SZ,600965.SH,600157.SH,600512.SH,600056.SH,000520.SZ,,002624.SZ,603323.SH,001914.SZ,300795.SZ,300825.SZ,301049.SZ,,,,300528.SZ,
43,600097.SH,002978.SZ,601952.SH,600163.SH,600606.SH,600058.SH,000582.SZ,,002803.SZ,000166.SZ,001979.SZ,300805.SZ,300826.SZ,600292.SH,,,,600052.SH,
44,600257.SH,600259.SH,603336.SH,600167.SH,600667.SH,600082.SH,000905.SZ,,002995.SZ,000617.SZ,002016.SZ,300947.SZ,300844.SZ,600323.SH,,,,600088.SH,
45,600467.SH,600311.SH,603345.SH,600236.SH,600820.SH,600083.SH,001205.SZ,,003010.SZ,000666.SZ,002133.SZ,600057.SH,300887.SZ,600475.SH,,,,600136.SH,
46,000713.SZ,600338.SH,603363.SH,600310.SH,600846.SH,600090.SH,001872.SZ,,300031.SZ,000686.SZ,002146.SZ,600093.SH,300901.SZ,601200.SH,,,,600715.SH,
47,,600489.SH,603517.SH,600396.SH,600853.SH,600128.SH,002040.SZ,,300038.SZ,000712.SZ,002147.SZ,600113.SH,300928.SZ,601330.SH,,,,600977.SH,
48,,600497.SH,603536.SH,600452.SH,600970.SH,600153.SH,002320.SZ,,300043.SZ,000728.SZ,002208.SZ,600138.SH,300938.SZ,601827.SH,,,,601595.SH,
49,,600547.SH,603609.SH,600483.SH,601068.SH,600180.SH,600017.SH,,300052.SZ,000750.SZ,002244.SZ,600415.SH,300949.SZ,603177.SH,,,,603103.SH,
50,,600711.SH,603668.SH,600505.SH,601117.SH,600250.SH,600018.SH,,300113.SZ,000776.SZ,002285.SZ,600462.SH,300977.SZ,603200.SH,,,,603721.SH,
51,,600988.SH,605077.SH,600509.SH,601186.SH,600278.SH,600026.SH,,300148.SZ,000783.SZ,002305.SZ,600539.SH,300983.SZ,603359.SH,,,,000673.SZ,
52,,601020.SH,605089.SH,600578.SH,601390.SH,600287.SH,600190.SH,,300226.SZ,002500.SZ,002314.SZ,600790.SH,300989.SZ,603568.SH,,,,000681.SZ,
53,,601069.SH,000716.SZ,600642.SH,601399.SH,600335.SH,600279.SH,,300242.SZ,002670.SZ,002377.SZ,600826.SH,301024.SZ,603588.SH,,,,002699.SZ,
54,,601168.SH,001215.SZ,600644.SH,601611.SH,600382.SH,600428.SH,,300295.SZ,002673.SZ,002968.SZ,601828.SH,301027.SZ,603603.SH,,,,300144.SZ,
55,,601899.SH,002053.SZ,600674.SH,601618.SH,600387.SH,600575.SH,,300315.SZ,002736.SZ,300917.SZ,601888.SH,301038.SZ,603797.SH,,,,300413.SZ,
56,,601958.SH,002216.SZ,600719.SH,601668.SH,600511.SH,600717.SH,,300392.SZ,002797.SZ,600007.SH,603117.SH,301046.SZ,603903.SH,,,,300860.SZ,
57,,603993.SH,002329.SZ,600726.SH,601669.SH,600532.SH,600798.SH,,300418.SZ,002926.SZ,600048.SH,603569.SH,301058.SZ,605069.SH,,,,600576.SH,
58,,603505.SH,002481.SZ,600744.SH,601789.SH,600538.SH,601000.SH,,300459.SZ,002939.SZ,600064.SH,603598.SH,600629.SH,605081.SH,,,,603466.SH,
59,,605086.SH,002495.SZ,600780.SH,601800.SH,600546.SH,601008.SH,,300467.SZ,002945.SZ,600067.SH,603648.SH,601226.SH,688057.SH,,,,002858.SZ,
60,,002207.SZ,002507.SZ,600795.SH,603007.SH,600605.SH,601018.SH,,300494.SZ,002961.SZ,600077.SH,603682.SH,601965.SH,688069.SH,,,,600158.SH,
61,,002554.SZ,002570.SZ,600821.SH,603316.SH,600608.SH,601228.SH,,300571.SZ,300059.SZ,600094.SH,603729.SH,603017.SH,688156.SH,,,,,
62,,002629.SZ,002597.SZ,600863.SH,603388.SH,600647.SH,601298.SH,,300766.SZ,300309.SZ,600159.SH,603836.SH,603018.SH,688178.SH,,,,,
63,,002683.SZ,002626.SZ,600868.SH,603637.SH,600648.SH,601326.SH,,300773.SZ,600030.SH,600162.SH,605168.SH,603060.SH,688466.SH,,,,,
64,,002828.SZ,002650.SZ,600886.SH,603717.SH,600704.SH,601866.SH,,300785.SZ,600061.SH,600173.SH,,603126.SH,688565.SH,,,,,
65,,300084.SZ,002661.SZ,600900.SH,603778.SH,600710.SH,601872.SH,,300792.SZ,600095.SH,600185.SH,,603183.SH,688679.SH,,,,,
66,,300157.SZ,002719.SZ,600905.SH,603815.SH,600739.SH,601880.SH,,300921.SZ,600109.SH,600208.SH,,603357.SH,688701.SH,,,,,
67,,300164.SZ,002732.SZ,600969.SH,603843.SH,600751.SH,601919.SH,,300987.SZ,600155.SH,600215.SH,,603458.SH,000430.SZ,,,,,
68,,300191.SZ,002770.SZ,600979.SH,603955.SH,600753.SH,601975.SH,,301001.SZ,600369.SH,600223.SH,,603698.SH,000610.SZ,,,,,
69,,600339.SH,002820.SZ,600982.SH,603959.SH,600755.SH,603167.SH,,600070.SH,600621.SH,600225.SH,,603776.SH,000809.SZ,,,,,
70,,600583.SH,002847.SZ,600995.SH,605303.SH,600822.SH,603565.SH,,600226.SH,600695.SH,600239.SH,,603859.SH,000888.SZ,,,,,
71,,600871.SH,002910.SZ,601016.SH,605598.SH,600829.SH,000089.SZ,,600228.SH,600783.SH,600246.SH,,603860.SH,000978.SZ,,,,,
72,,600968.SH,002946.SZ,601619.SH,000032.SZ,600981.SH,000099.SZ,,600242.SH,600837.SH,600266.SH,,603909.SH,002033.SZ,,,,,
73,,601808.SH,002956.SZ,601778.SH,603929.SH,600998.SH,002928.SZ,,600358.SH,600864.SH,600322.SH,,605167.SH,002059.SZ,,,,,
74,,603619.SH,300146.SZ,601985.SH,002047.SZ,601028.SH,600004.SH,,600556.SH,600906.SH,600325.SH,,688315.SH,002159.SZ,,,,,
75,,603727.SH,300401.SZ,601991.SH,002081.SZ,603003.SH,600009.SH,,600633.SH,600909.SH,600340.SH,,688509.SH,002485.SZ,,,,,
76,,603979.SH,300765.SZ,603693.SH,002163.SZ,603108.SH,600029.SH,,600640.SH,600918.SH,600376.SH,,000504.SZ,002973.SZ,,,,,
77,,,300791.SZ,605011.SH,002323.SZ,603368.SH,600115.SH,,600652.SH,600958.SH,600383.SH,,003035.SZ,300815.SZ,,,,,
78,,,300829.SZ,605028.SH,002325.SZ,603716.SH,600221.SH,,600804.SH,600999.SH,600393.SH,,,300859.SZ,,,,,
79,,,300858.SZ,605162.SH,002375.SZ,603970.SH,600897.SH,,600986.SH,601066.SH,600466.SH,,,600054.SH,,,,,
80,,,300898.SZ,605580.SH,002482.SZ,605056.SH,601021.SH,,601360.SH,601099.SH,600503.SH,,,600593.SH,,,,,
81,,,300908.SZ,000407.SZ,002504.SZ,000026.SZ,601111.SH,,603000.SH,601108.SH,600510.SH,,,600706.SH,,,,,
82,,,300915.SZ,000421.SZ,002620.SZ,000078.SZ,601156.SH,,603258.SH,601162.SH,600515.SH,,,600749.SH,,,,,
83,,,300973.SZ,000593.SZ,002713.SZ,000417.SZ,603885.SH,,603444.SH,601198.SH,600533.SH,,,603099.SH,,,,,
84,,,600073.SH,000669.SZ,002781.SZ,000419.SZ,001202.SZ,,603533.SH,601211.SH,600555.SH,,,603136.SH,,,,,
85,,,600186.SH,002259.SZ,002789.SZ,000501.SZ,600179.SH,,603613.SH,601236.SH,600565.SH,,,603199.SH,,,,,
86,,,600298.SH,002267.SZ,002811.SZ,000564.SZ,601598.SH,,603825.SH,601375.SH,600604.SH,,,,,,,,
87,,,600305.SH,002700.SZ,002822.SZ,000679.SZ,603128.SH,,603881.SH,601377.SH,600622.SH,,,,,,,,
88,,,600381.SH,002911.SZ,002830.SZ,000715.SZ,603329.SH,,603888.SH,601456.SH,600638.SH,,,,,,,,
89,,,600419.SH,300332.SZ,002856.SZ,000753.SZ,603713.SH,,688158.SH,601555.SH,600639.SH,,,,,,,,
90,,,600429.SH,300435.SZ,002963.SZ,000757.SZ,603871.SH,,000004.SZ,601688.SH,600641.SH,,,,,,,,
91,,,600597.SH,600207.SH,002989.SZ,000759.SZ,603967.SH,,000158.SZ,601696.SH,600649.SH,,,,,,,,
92,,,600784.SH,600333.SH,300117.SZ,000851.SZ,605050.SH,,000409.SZ,601788.SH,600657.SH,,,,,,,,
93,,,600866.SH,600617.SH,300506.SZ,000963.SZ,002492.SZ,,000555.SZ,601878.SH,600658.SH,,,,,,,,
94,,,600872.SH,600635.SH,300621.SZ,002024.SZ,002930.SZ,,000638.SZ,601881.SH,600663.SH,,,,,,,,
95,,,600873.SH,600681.SH,600193.SH,002187.SZ,300013.SZ,,000682.SZ,601901.SH,600665.SH,,,,,,,,
96,,,600882.SH,600803.SH,600209.SH,002251.SZ,300240.SZ,,000889.SZ,601990.SH,600675.SH,,,,,,,,
97,,,600887.SH,600856.SH,601886.SH,002264.SZ,300873.SZ,,000948.SZ,601995.SH,600683.SH,,,,,,,,
98,,,600929.SH,600903.SH,603030.SH,002277.SZ,600787.SH,,000971.SZ,603093.SH,600684.SH,,,,,,,,
99,,,603020.SH,600917.SH,603098.SH,002280.SZ,600794.SH,,000997.SZ,000627.SZ,600692.SH,,,,,,,,
100,,,603027.SH,600956.SH,603828.SH,002336.SZ,603066.SH,,002063.SZ,600291.SH,600708.SH,,,,,,,,
101,,,603043.SH,601139.SH,605178.SH,002356.SZ,603535.SH,,002065.SZ,601318.SH,600716.SH,,,,,,,,
102,,,603079.SH,603053.SH,605287.SH,002419.SZ,002120.SZ,,002093.SZ,601319.SH,600736.SH,,,,,,,,
103,,,603288.SH,603080.SH,605289.SH,002556.SZ,002352.SZ,,002123.SZ,601336.SH,600743.SH,,,,,,,,
104,,,603299.SH,603318.SH,,002561.SZ,002468.SZ,,002148.SZ,601601.SH,600748.SH,,,,,,,,
105,,,603317.SH,603393.SH,,002640.SZ,600233.SH,,002153.SZ,601628.SH,600773.SH,,,,,,,,
106,,,603696.SH,603689.SH,,002697.SZ,603056.SH,,002195.SZ,000046.SZ,600791.SH,,,,,,,,
107,,,603697.SH,603706.SH,,002727.SZ,,,002197.SZ,000416.SZ,600807.SH,,,,,,,,
108,,,603739.SH,605090.SH,,002780.SZ,,,002212.SZ,000563.SZ,600823.SH,,,,,,,,
109,,,603755.SH,605169.SH,,002999.SZ,,,002230.SZ,000567.SZ,600848.SH,,,,,,,,
110,,,603866.SH,605368.SH,,300022.SZ,,,002232.SZ,000958.SZ,600890.SH,,,,,,,,
111,,,603886.SH,000544.SZ,,300209.SZ,,,002253.SZ,000987.SZ,600895.SH,,,,,,,,
112,,,605016.SH,000598.SZ,,300464.SZ,,,002261.SZ,002423.SZ,601155.SH,,,,,,,,
113,,,605179.SH,000605.SZ,,300592.SZ,,,002268.SZ,002647.SZ,601512.SH,,,,,,,,
114,,,605300.SH,000685.SZ,,300622.SZ,,,002279.SZ,300033.SZ,601588.SH,,,,,,,,
115,,,605338.SH,003039.SZ,,300783.SZ,,,002298.SZ,300803.SZ,603506.SH,,,,,,,,
